hospital_name,latitude,longitude
Swamy Hospital,12.8550625,77.6642727
Clinic,12.9134182,77.6774852
Shanti Hospital,12.9235041,77.5857517
Apollo Hospital,12.9263714,77.6765455
Narayana Hrudayalaya Dental Clinic,12.9155759,77.6349897
Dr Ganesh Medical and Diabetic Clinic,12.9129006,77.6419101
JBS Hospital,12.9207173,77.5745968
Jayanagar heart Centre,12.9231684,77.584433
Sri Vijayalakshmi Pragathi Hospital,13.0371728,77.6409543
Sathya Hospital,13.0185503,77.6364728
Ramakrishna Hospital,12.8500655,77.6624706
Chord Road Hospital Pvt Ltd,12.9981215,77.5404836
Pristline Hospital,12.9978931,77.5436127
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",12.9376734,77.5802836
Manipal Northside Hospital,13.0011275,77.5639285
Government Primary Health Centre,12.9503234,77.6162619
Divakars speciality Hospital,12.9100629,77.5924585
Hema Poly Clinic,12.960765,77.7137961
BMTC Hospital,12.9234317,77.5923374
Ramakrishna Nursing Home and Hospital,12.9364329,77.583477
Sri Vinayaka Poly Clinic,12.939058,77.5510802
RMV Hospital,13.0322788,77.576876
Yashomathi Hospitals,12.9559302,77.7112689
Mallya Audikesh Diagnostics Center,12.9815051,77.6011944
Mallige Medical Centre,12.985247,77.5803846
Devine Hospital,13.0038999,77.6039313
Lalbagh Nursing Home,12.9452313,77.5861734
Dr. Batra Clinic,12.9797287,77.7271089
Government Maternity Hospital,12.9988604,77.5817424
Soujanya Clinic,12.9681189,77.54325
Kanva Diagnostics Collection Centre,12.967291,77.5429164
New Akshay Mallya Hospital,12.9568527,77.6990468
Presidency Hospital,12.9951629,77.69923
BGS Gleneagles Hospitals,12.90306,77.4974982
Srinivas Clinic,12.9073391,77.5830655
Unnamed Hospital,13.0043642,77.5652959
Metro Hospital,12.8915893,77.560715
Brookefield Hospital(A Unit Of Sanjeevani Hospital),12.9668213,77.7168891
Tenet diagnostics,12.9573067,77.7087044
ESI Hospital,12.995242,77.6523255
Karunalayam Hospital,12.9111263,77.7073377
SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,12.9367955,77.5907094
Maiya Multispecialty Hospital,12.942614,77.5854533
Narayana Netralaya,12.9671401,77.6094485
Nagappa Hadli Hospital,13.0829889,77.5489026
"Vasan Eye Care Hospital, Nagarabhavi",12.9746134,77.5129757
Rc Hospital,12.930936,77.5153776
Veturi Child Health Centre,12.9263226,77.5156579
Ketham's Hospital Pvt. Ltd,13.0686568,77.5582571
Ragavendra Hospital,13.0425433,77.5155377
Guru Kripa Clinic,13.0349833,77.5676844
Deeksha Orthopaedic Hospital,13.0973922,77.5964894
Shushrusha Hospital,13.0997316,77.5980216
Chirag Hospital and Maternity Center,12.9126298,77.5913594
Udhbhava Hospital,12.9256842,77.5489346
DG Hospital,12.9206648,77.5598673
Srinivasa Nursing Home,12.9423039,77.6174893
Kangila Clinic,12.9336501,77.5660602
Chaitanya Hospital,13.0990911,77.5861904
"Vasan Eye Care Hospital, Koramangala",12.9402371,77.6253403
health nest,12.9075992,77.6488507
Amma's ENT Clinic,13.0281613,77.5793947
Krishna Specialty Clinic,13.026721,77.5789272
Seventh Day Adventist Hospital,12.995625,77.6113272
Srinivasa Nursing Home,12.9965077,77.6220456
Kids Care Clinic,12.914434,77.6050207
Pristine Health care,12.9382768,77.6186753
Prerana Dental Clinic,12.9186845,77.630774
Mamtha Health Center,12.9180492,77.6318764
Suprabha Hospital,13.0079383,77.5469059
Sangolli Nursing Home,13.0083564,77.5469273
Diacon Hospital,13.0037682,77.5498337
Agarwal Eye Hospital,12.9273417,77.6221301
Sri Sapthagiri Clinic,12.8736928,77.6449626
Sagar Dental Clinic,12.9169725,77.6300572
Venkateshwara Hospital,12.9257842,77.6170828
Namratha Hospital,13.0047859,77.543073
Devi Eye Hospital,12.9162576,77.6374069
Mysore Hospital,13.0275337,77.5397051
Jayanagar Orthopaedic Centre,12.9293288,77.5877091
Shekar Hospital,12.9458714,77.5675192
Punya Hospital,13.0011459,77.5359798
Vasan Eye Care,12.9102705,77.6265538
